,Unnamed: 0,Song_name,Artist_name,Scale_x,BPM,Scale_y,Capo,Chords,Frquency_map_of_each_chord,bpm
2,2,Another Love,Tom Odell,Em,123,Em,no capo,"['C', 'Em', 'Am', 'Bm', 'G']","{'C': 28, 'Em': 44, 'Am': 16, 'Bm': 28, 'G': 12}",120 
5,5,Creep,Radiohead,G,92,C,no capo,"['C', 'E', 'F', 'Fm']","{'C': 12, 'E': 11, 'F': 11, 'Fm': 11}",92 
6,6,Creep,Radiohead,G,92,C,no capo,"['C', 'E', 'F', 'Fm']","{'C': 12, 'E': 11, 'F': 11, 'Fm': 11}",92 
7,7,Last Christmas,Wham!,D,108,D,no capo,"['D', 'Bm', 'Em', 'A']","{'D': 16, 'Bm': 15, 'Em': 17, 'A': 15}",107 
8,8,Something In The Orange,Zach Bryan,Em,175,G,no capo,"['Em', 'G', 'D/F#', 'Cadd9', 'D']","{'Em': 29, 'G': 28, 'D/F#': 12, 'Cadd9': 14, 'D': 15}",166 
9,9,Let Her Go,Passenger,G,75,Em,7th fret,"['G', 'F', 'Am', 'C', 'Em']","{'G': 37, 'F': 34, 'Am': 25, 'C': 18, 'Em': 6}",75 
11,11,Somewhere Only We Know,Keane,A,172,C,no capo,"['C', 'Em', 'Dm', 'G', 'F', 'Am']","{'C': 15, 'Em': 17, 'Dm': 21, 'G': 20, 'F': 16, 'Am': 6}",86 
13,13,Tv,Lady Gaga,Gm,116,G,no capo,"['G', 'D/F#', 'Em', 'C', 'D']","{'G': 14, 'D/F#': 9, 'Em': 39, 'C': 30, 'D': 35}",70 
14,14,Anti-Hero,Frank Sinatra,F,110,E,no capo,"['A', 'E', 'B', 'C#m']","{'A': 39, 'E': 39, 'B': 39, 'C#m': 39}",97 
15,15,Zombie,Gnarls Barkley,Em,92,Em,no capo,"['Em', 'C', 'G', 'D/F#']","{'Em': 22, 'C': 21, 'G': 16, 'D/F#': 16}",82 
16,16,Take Me Home Country Roads,The Cranberries,A,82,A,2nd fret,"['G', 'Em', 'D', 'C', 'F', 'D7']","{'G': 25, 'Em': 10, 'D': 17, 'C': 14, 'F': 1, 'D7': 1}",164 
