Song_name,Artist_name,Scale,BPM
Cant Help Falling In Love,Elvis Presley,D,100
Perfect,Ed Sheeran,G#,95
Hallelujah (ver 2),Jeff Buckley,C,101
Another Love,Tom Odell,Em,123
Hotel California,Eagles,D,147
Creep,Radiohead,G,92
Yellow (ver 2),Coldplay,B,170
Riptide (ver 2),Vance Joy,C#,96
Last Christmas,Wham!,D,108
All I Want For Christmas Is You (ver 3),Mariah Carey,G,75
Wonderwall (ver 2),Oasis,A,174
Something In The Orange,Zach Bryan,Em,175
Take Me Home Country Roads (ver 5),John Denver,C,91
Let Her Go,Passenger,G,75
House Of The Rising Sun,The Animals,Am,117
Somewhere Only We Know,Keane,A,172
Until I Found You (ver 2),Stephen Sanchez,A#,101
When I Was Your Man,Bruno Mars,C,73
A Star Is Born - Shallow (ver 2),Misc Soundtrack,G,100
Tv,Lady Gaga,Gm,116
Fly Me To The Moon (ver 2),Bradley Cooper,Am,119
Where Is My Mind,Billie Eilish,Em,100
Anti-Hero,Frank Sinatra,F,110
Viva La Vida,Pixies,Am,150
Wish You Were Here,Taylor Swift,G,118
Crazy (ver 2),Coldplay,D#,79
Dont Look Back In Anger,Pink Floyd,D,83
Zombie,Gnarls Barkley,Em,92
Iris (ver 4),Oasis,Em,139
Take Me Home Country Roads,The Cranberries,A,82
Glimpse Of Us,Goo Goo Dolls,E,140
Someone Like You,John Denver,E,111
Yesterday,Adele,C#,167
All Of Me,Creedence Clearwater Revival,C,133
Just The Two Of Us,The Beatles,A#,120
Jingle Bell Rock (ver 3),John Legend,D,120
Thinking Out Loud,Grover Washington Jr.,A#m,96
Jolene (ver 2),Bill Withers,B,110
Sweater Weather Acoustic,Bobby Helms,D#m,75
Jingle Bells,Ed Sheeran,C,114
Boulevard Of Broken Dreams (ver 3),Dolly Parton,G#,171
Hurt,The Neighbourhood,Dm,83
Someone You Loved,Misc Christmas,C#,105
Imagine,Green Day,G,89
Let It Be (ver 2),Johnny Cash,A#m,88
Have Yourself A Merry Little Christmas,Lewis Capaldi,A,69
Youre On Your Own Kid,John Lennon,D,120
Photograph,Judy Garland,Em,85
Make You Feel My Love,Adele,A#,65
Happier Than Ever,Billie Eilish,C,81
Im Yours (ver 11),Jason Mraz,B,75
Wicked Game,Chris Isaak,A,112
Your Song,Elton John,D#,128
Smells Like Teen Spirit,Nirvana,C#,117
Silent Night (ver 4),Misc Christmas,E,126
Love Yourself,Justin Bieber,E,100
As It Was,Harry Styles,F#m,174
All Of Me (ver 3),John Legend,G,141
Sweet Child O Mine,Guns N' Roses,F#,125
Heather,Conan Gray,F,102
Wouldve Couldve Shouldve,Taylor Swift,G,158
Stand By Me (ver 7),Ben E. King,D,119
Space Oddity,David Bowie,C,134
Knockin On Heavens Door (ver 2),Bob Dylan,G,128
A Star Is Born - Always Remember Us This Way,Misc Soundtrack,C,130
The Sound Of Silence (ver 2),Lady Gaga,A,91
Hey Jude (ver 7),Simon & Garfunkel,A,81
Snowman (ver 3),The Beatles,F#,94
Feliz Navidad,Sia,C#,84
Golden Hour,Misc Christmas,F,121
Aint No Sunshine,JVKE,Em,144
Good Riddance Time Of Your Life,Bill Withers,G,95
Midnight Rain,Green Day,C#m,139
Hallelujah,Taylor Swift,D,120
Take Me To Church Acoustic,Leonard Cohen,Em,129
Atlantis,Hozier,C#m,73
Tennessee Whiskey,Seafret,A,49
I See Fire (ver 3),Chris Stapleton,Fm,154
No Surprises,Ed Sheeran,F,76
When We Were Young,Radiohead,D#,144
Rolling In The Deep (ver 4),Adele,Cm,105
Fix You (ver 16),Adele,D#,140
All I Want,Coldplay,G,129
White Christmas,Kodaline,C,151
O Holy Night (ver 8),Bing Crosby,G#,86
California Dreamin (ver 3),Misc Christmas,C#,80
Cigarette Daydreams,The Mamas & The Papas,D,114
Happy Xmas War Is Over,Cage the Elephant,D#,172
Im Not The Only One,John Lennon,C,76
Hey There Delilah (ver 2),Sam Smith,D,104
Hallelujah,Plain White T's,C#,80
Those Eyes,Jeff Buckley,E,120
Back To Black,New West,Em,94
Bohemian Rhapsody (ver 5),Amy Winehouse,Fm,97
Lovely,Queen,C#,162
American Pie,Billie Eilish,Em,140
Stay,Khalid,Fm,125
Losing My Religion (ver 2),Don McLean,Am,126
Wagon Wheel,Darius Rucker,A,148
Say You Wont Let Go (ver 4),James Arthur,A#,85
Landslide,Fleetwood Mac,Gm,159
Stick Season,Noah Kahan,A,118
Love Story,Taylor Swift,D,119
Die For You,Joji,G#,148
I Will Follow You Into The Dark (ver 3),Death Cab for Cutie,F,80
Over The Rainbow (ver 3),Israel Kamakawiwoʻole,G,85
505,Arctic Monkeys,C,140
Talking To The Moon,Bruno Mars,C#m,146
Its Beginning To Look A Lot Like Christmas (ver 3),Michael Bublé,E,95
Sparks (ver 2),Coldplay,C#,103
Best Part,Daniel Caesar,G,75
Let It Be,H.E.R.,G#,90
While My Guitar Gently Weeps,The Beatles,Em,113
Here With Me,The Beatles,A#,127
Nothing Else Matters,d4vd,Em,142
Father And Son,Metallica,G,103
Easy On Me,Cat Stevens,F,142
Fade Into You (ver 3),Adele,D,160
Karma Police (ver 2),Mazzy Star,G,145
All Too Well,Radiohead,C,93
Something (ver 2),Taylor Swift,C,134
Let It Snow,The Beatles,A#,141
A Thousand Years,Dean Martin,B,100
Cardigan,Christina Perri,C,76
The A Team (ver 5),Taylor Swift,A,85
Heart Of Gold,Ed Sheeran,Em,91
The Night We Met,Neil Young,D,174
Frozen - Let It Go,Lord Huron,G#,137
You Belong With Me (ver 2),Phoebe Bridgers,G,120
How Deep Is Your Love (ver 4),Misc Cartoons,Fm,99
What A Wonderful World (ver 9),Taylor Swift,B,129
Maroon,ABBA,Bm,128
Vienna,Extreme,Bm,135
I Wanna Be Yours,Taylor Swift,Cm,68
Valerie (ver 7),Arctic Monkeys,E,106
Killing Me Softly,Backstreet Boys,Em,92
Rockin Around The Christmas Tree,Amy Winehouse,G#,67
The Scientist,Fugees,F,146
We Wish You A Merry Christmas,Brenda Lee,F,156
Dandelions (ver 2),Coldplay,G#m,102
Jersey Giant Acoustic,Ruth B.,G,123
Drivers License,Olivia Rodrigo,A#,144
Three Little Birds,Bob Marley,A,74
Ring Of Fire,Johnny Cash,G,104
Bad Moon Rising,Creedence Clearwater Revival,D,89
Love Of My Life,Queen,F,79
Chasing Cars,Snow Patrol,A,104
Californication,Red Hot Chili Peppers,Am,96
Wake Me Up (ver 2),Avicii,D,124
Rudolph The Red-Nosed Reindeer (ver 2),Misc Christmas,C,164
Dont Think Twice Its All Right (ver 2),Bob Dylan,E,111
There Is A Light That Never Goes Out,The Smiths,E,136
Blowin In The Wind,Bob Dylan,D,175
Mary On A Cross (ver 2),Ghost,B,130
Somebody That I Used To Know (ver 2),Gotye,Cm,129
Mr Brightside,The Killers,C#,148
Fast Car (ver 3),Tracy Chapman,A,102
Layla Acoustic Live (ver 3),Eric Clapton,Dm,94
Forget Me,Lewis Capaldi,C#m,102
Piano Man (ver 5),Billy Joel,C,159
Brown Eyed Girl (ver 4),Van Morrison,G,146
Slipping Through My Fingers,ABBA,F,137
Counting Stars,OneRepublic,F,137
Redemption Song (ver 2),Bob Marley,G,108
Winter Wonderland (ver 2),Dean Martin,G,117
In The Stars,Benson Boone,A#,78
Do I Wanna Know Acoustic,Arctic Monkeys,C,84
Dancing On My Own (ver 2),Calum Scott,C#,113
Radioactive,Imagine Dragons,A,136
Take It Easy (ver 2),Eagles,G,139
Wonderful Tonight (ver 3),Eric Clapton,G,93
Coco - Remember Me Lullaby (ver 3),Misc Cartoons,C,93
Snap,Robert Lopez,C#,144
Tears In Heaven,Kristen Anderson-Lopez,A#m,126
A Horse With No Name,Rosa Linn,Bm,100
Happy Birthday (ver 2),Eric Clapton,G,137
Here Comes The Sun (ver 8),America,A,64
Sweet Home Alabama,Misc Traditional,G,98
Unholy,The Beatles,G,149
Goodness Of God,Lynyrd Skynyrd,A,145
Folsom Prison Blues (ver 4),Sam Smith,C,111
Rocket Man,Kim Petras,Em,75
July,Bethel Music,C#,164
Dreams,Johnny Cash,A,174
When The Partys Over,Noah Cyrus,C#,156
In My Life (ver 5),Fleetwood Mac,G#,87
Every Breath You Take (ver 8),Alicia Keys,C#,117
Night Changes,Billie Eilish,Em,100
Joy To The World,The Beatles,E,144
Yellow,Coldplay,B,173
Just The Way You Are,Bruno Mars,F,109
Stand By Me,Ben E. King,A,118
Dust In The Wind (ver 2),Kansas,Am,176
Santa Claus Is Coming To Town,Misc Christmas,G,82
Before You Go,Lewis Capaldi,D#,112
Dream On (ver 2),Aerosmith,Fm,150
You Are The Reason (ver 3),Calum Scott,A#,172
Leaving On A Jet Plane,John Denver,G,121
Stay With Me,Sam Smith,C,84
Africa,Toto,A,93
The Only Exception,Paramore,E,138
Like A Stone Acoustic,Chris Cornell,Am,85
Wellerman,The Longest Johns,D#,95
Made You Look,Meghan Trainor,A#,145
Sweet Nothing,Taylor Swift,C,88
The Scientist (ver 2),Coldplay,F,73
Feathered Indians,Tyler Childers,G,87
Tennessee Whiskey (ver 3),Chris Stapleton,A,49
Free Fallin,Tom Petty,F,84
A Star Is Born - Shallow,Misc Soundtrack,G,100
Careless Whisper (ver 4),Lady Gaga,Bm,159
Comfortably Numb,Bradley Cooper,F#,115
Dont Stop Me Now (ver 3),George Michael,F,155
Patience,Pink Floyd,A,120
Burn Burn Burn,Queen,D,125
Where Did You Sleep Last Night Acoustic,Guns N' Roses,G#,120
Traitor,Zach Bryan,Em,119
Romantic Homicide,Nirvana,G,136
Believer (ver 2),Olivia Rodrigo,D#,87
Hey Jude,d4vd,F,134
Dont Stop Believin (ver 13),Imagine Dragons,G#,148
Im Still Standing,The Beatles,F#,88
November Rain (ver 2),Journey,B,78
Yesterday (ver 4),Elton John,Cm,76
Wonderwall (ver 3),Guns N' Roses,E,100
Reckless Love (ver 2),The Beatles,F#,111
Blue Christmas (ver 3),Oasis,F,150
Take On Me,Cory Asbury,G#,140
Ocean Eyes,Elvis Presley,Em,145
How Do I Say Goodbye Live,a-ha,G#,82
Snow On The Beach,Billie Eilish,A,110
Amazing Grace (ver 2),Dean Lewis,G,112
Glimpse Of Us (ver 4),Taylor Swift,G#,170
Seven Nation Army,Lana Del Rey,C#m,112
Wonderwall,Misc Praise Songs,G#,139
Wild World,John Newton,C,153
