name,author_name,scale_x,bpm_x,scale_y,capo,chords,bpm_y,new_scale,new_bpm,Freq_map
Perfect,Ed Sheeran,G#,95,G#,1st fret,"['G', 'Em', 'C', 'D', 'D/F#', 'G/B', 'Dsus4']",64 bpm,G#,64 bpm,"{'C': 30, 'Am': 23, 'F': 24, 'G': 26, 'G/B': 2, 'C/E': 1, 'Gsus4': 1}"
Hallelujah,Jeff Buckley,C,101,C#,1st fret,"['C', 'Am', 'F', 'G', 'E7']",69 bpm,C,69 bpm,"{'C#': 41, 'A#m': 38, 'F#': 30, 'G#': 28, 'F7': 5}"
Another Love,Tom Odell,Em,123,Em,no capo,"['C', 'Em', 'Am', 'Bm', 'G']",120 bpm,Em,120 bpm,"{'F': 28, 'Am': 44, 'Dm': 16, 'Em': 28, 'C': 12}"
Hotel California,Eagles,D,147,Bm,2nd fret,"['Am', 'E7', 'G', 'D', 'F', 'C', 'Dm']",73 bpm,D,73 bpm,"{'Am': 11, 'E7': 22, 'G': 9, 'D': 9, 'F': 13, 'C': 13, 'Dm': 11}"
Creep,Radiohead,G,92,C,no capo,"['C', 'E', 'F', 'Fm']",92 bpm,G,92 bpm,"{'F': 12, 'A': 11, 'A#': 11, 'A#m': 11}"
Yellow,Coldplay,B,170,G,4th fret,"['G', 'D', 'C', 'Cmaj7', 'Gsus4', 'Em7', 'Dm7']",86 bpm,B,86 bpm,"{'C': 16, 'G': 16, 'F': 4, 'Fmaj7': 15, 'Csus4': 4, 'Am7': 6, 'Gm7': 1}"
Riptide,Vance Joy,C#,96,A#m,1st fret,"['Am', 'G', 'C', 'Fmaj7']",102 bpm,C#,102 bpm,"{'Am': 39, 'G': 39, 'C': 40, 'Fmaj7': 2}"
Last Christmas,Wham!,D,108,D,no capo,"['D', 'Bm', 'Em', 'A']",107 bpm,D,107 bpm,"{'C': 16, 'Am': 15, 'Dm': 17, 'G': 15}"
Wonderwall,Oasis,A,174,F#m,2nd fret,"['Em', 'G', 'D', 'A7sus4', 'C']",87 bpm,A,87 bpm,"{'Am': 53, 'C': 33, 'G': 26, 'D7sus4': 19, 'F': 23}"
Something In The Orange,Zach Bryan,Em,175,G,no capo,"['Em', 'G', 'D/F#', 'Cadd9', 'D']",166 bpm,Em,166 bpm,"{'Am': 29, 'C': 28, 'G/B': 12, 'Fadd9': 14, 'G': 15}"
