name,author_name,scale_x,bpm_x,scale_y,capo,chords,bpm_y,Freq_map
Perfect,Ed Sheeran,G#,95,G#,1st fret,"['G', 'Em', 'C', 'D', 'D/F#', 'G/B', 'Dsus4']",64 bpm,"{'C': 30, 'Am': 23, 'F': 24, 'G': 26, 'G/B': 2, 'C/E': 1, 'Gsus4': 1}"
Another Love,Tom Odell,Em,123,Em,no capo,"['C', 'Em', 'Am', 'Bm', 'G']",120 bpm,"{'F': 28, 'Am': 44, 'Dm': 16, 'Em': 28, 'C': 12}"
Last Christmas,Wham!,D,108,D,no capo,"['D', 'Bm', 'Em', 'A']",107 bpm,"{'C': 16, 'Am': 15, 'Dm': 17, 'G': 15}"
Until I Found You,Stephen Sanchez,A#,101,A#,3rd fret,"['G', 'Bm', 'C', 'D', 'G7', 'Cm']",67 bpm,"{'C': 18, 'Em': 13, 'F': 19, 'G': 11, 'C7': 3, 'Fm': 4}"
A Star Is Born - Shallow,Misc Soundtrack,G,100,G,no capo,"['Em', 'D', 'G', 'C', 'Am', 'Bm', 'A']",96 bpm,"{'Am': 23, 'G': 39, 'C': 29, 'F': 9, 'Dm': 8, 'Em': 2, 'D': 2}"
Zombie,Gnarls Barkley,Em,92,Em,no capo,"['Em', 'C', 'G', 'D/F#']",82 bpm,"{'Am': 22, 'F': 21, 'C': 16, 'G/B': 16}"
Love Yourself,Justin Bieber,E,100,E,4th fret,"['C', 'G/B', 'Am', 'Dm', 'F', 'G']",100 bpm,"{'C': 56, 'G/B': 20, 'Am': 28, 'Dm': 10, 'F': 18, 'G': 24}"
Heather,Conan Gray,F,102,F,5th fret,"['C', 'Em', 'Am', 'Fmaj7', 'Fm']",92 bpm,"{'C': 9, 'Em': 9, 'Am': 9, 'Fmaj7': 9, 'Fm': 9}"
A Star Is Born - Always Remember Us This Way,Misc Soundtrack,C,130,C,no capo,"['Am', 'F', 'C', 'G', 'A#']",65 bpm,"{'Am': 12, 'F': 23, 'C': 15, 'G': 20, 'A#': 4}"
No Surprises,Ed Sheeran,F,76,F,3rd fret,"['D', 'Gm', 'Gmaj7/B', 'Em', 'A', 'Asus4']",75 bpm,"{'C': 14, 'Fm': 11, 'Fmaj7/A': 5, 'Dm': 12, 'G': 13, 'Gsus4': 11}"
Hey There Delilah,Sam Smith,D,104,D,no capo,"['D', 'F#m', 'Bm', 'G', 'A']",104 bpm,"{'C': 33, 'Em': 12, 'Am': 31, 'F': 10, 'G': 20}"
Wagon Wheel,Darius Rucker,A,148,A,2nd fret,"['G', 'D', 'Em', 'C']",148 bpm,"{'C': 45, 'G': 45, 'Am': 23, 'F': 45}"
Nothing Else Matters,d4vd,Em,142,Em,no capo,"['Em', 'D', 'C', 'G', 'B7', 'A']",142 bpm,"{'Am': 32, 'G': 32, 'F': 32, 'C': 7, 'E7': 7, 'D': 11}"
Easy On Me,Cat Stevens,F,142,F,5th fret,"['C', 'Am7', 'Em', 'Fmaj7', 'G', 'F', 'Dm7', 'Dm']",80 bpm,"{'C': 20, 'Am7': 14, 'Em': 14, 'Fmaj7': 17, 'G': 13, 'F': 1, 'Dm7': 2, 'Dm': 4}"
The A Team,Taylor Swift,A,85,A,2nd fret,"['G', 'D/F#', 'Em', 'C', 'Am']",170 bpm,"{'C': 39, 'G/B': 12, 'Am': 26, 'F': 33, 'Dm': 9}"
Heart Of Gold,Ed Sheeran,Em,91,Em,no capo,"['Em7', 'D', 'Em', 'C', 'G']",85 bpm,"{'Am7': 6, 'G': 21, 'Am': 26, 'F': 20, 'C': 25}"
I Wanna Be Yours,Taylor Swift,Cm,68,Cm,no capo,"['Cm', 'Fm', 'Gm', 'A#', 'G#']",68 bpm,"{'Am': 21, 'Dm': 16, 'Em': 16, 'G': 10, 'F': 10}"
Drivers License,Olivia Rodrigo,A#,144,A#,3rd fret,"['G', 'Em', 'C', 'D', 'Bm7', 'C6', 'D/F#', 'Em7']",72 bpm,"{'C': 22, 'Am': 10, 'F': 17, 'G': 12, 'Em7': 3, 'F6': 3, 'G/B': 1, 'Am7': 1}"
Three Little Birds,Bob Marley,A,74,A,no capo,"['A', 'D', 'E']",76 bpm,"{'C': 31, 'F': 15, 'G': 6}"
Chasing Cars,Snow Patrol,A,104,A,no capo,"['A', 'E/G#', 'D', 'Dsus2', 'Dmaj7']",104 bpm,"{'C': 30, 'G/B': 15, 'F': 7, 'Fsus2': 1, 'Fmaj7': 8}"
Blowin In The Wind,Bob Dylan,D,175,D,7th fret,"['G', 'C', 'D']",175 bpm,"{'C': 36, 'F': 33, 'G': 24}"
Brown Eyed Girl,Van Morrison,G,146,G,no capo,"['G', 'C', 'D', 'Em', 'D7']",151 bpm,"{'C': 49, 'F': 27, 'G': 27, 'Am': 3, 'G7': 3}"
In The Stars,Benson Boone,A#,78,A#,3rd fret,"['G', 'D', 'Em', 'Bm', 'Am', 'C', 'B7', 'Cm']",78 bpm,"{'C': 27, 'G': 15, 'Am': 21, 'Em': 10, 'Dm': 4, 'F': 12, 'E7': 3, 'Fm': 3}"
Wonderful Tonight,Eric Clapton,G,93,G,no capo,"['G', 'D/F#', 'C', 'D', 'Em']",96 bpm,"{'C': 21, 'G/B': 17, 'F': 21, 'G': 21, 'Am': 7}"
Santa Claus Is Coming To Town,Misc Christmas,G,82,G,no capo,"['G', 'C', 'Em', 'Am7', 'D7', 'G7', 'A7', 'D']",140 bpm,"{'C': 14, 'F': 8, 'Am': 4, 'Dm7': 4, 'G7': 4, 'C7': 2, 'D7': 2, 'G': 2}"
You Are The Reason,Calum Scott,A#,172,A#,3rd fret,"['G', 'Em', 'C', 'D', 'Cm']",57 bpm,"{'C': 18, 'Am': 13, 'F': 17, 'G': 24, 'Fm': 3}"
Leaving On A Jet Plane,John Denver,G,121,G,no capo,"['D', 'G', 'C']",133 bpm,"{'G': 13, 'C': 36, 'F': 36}"
Made You Look,Meghan Trainor,A#,145,A#,1st fret,"['A', 'C#/F', 'F#m', 'D', 'E', 'B']",NF,"{'C': 27, 'E/G#': 5, 'Am': 7, 'F': 10, 'G': 10, 'D': 2}"
Sweet Nothing,Taylor Swift,C,88,C,no capo,"['F', 'C/E', 'Dm7', 'C', 'G', 'Am', 'Em']",112 bpm,"{'F': 21, 'C/E': 17, 'Dm7': 17, 'C': 21, 'G': 4, 'Am': 3, 'Em': 1}"
Ocean Eyes,Elvis Presley,Em,145,Em,no capo,"['C', 'Dsus2', 'Em', 'G', 'G/B']",72 bpm,"{'F': 52, 'Gsus2': 33, 'Am': 33, 'C': 19, 'C/E': 19}"
