Song_Name,Artist_Name,Song_link
Shelter From The Storm (ver 2),The Beatles,https://tabs.ultimate-guitar.com/tab/bob-dylan/shelter-from-the-storm-chords-697872
Stayin Alive (ver 2),The Beatles,https://tabs.ultimate-guitar.com/tab/bee-gees/stayin-alive-chords-1743431
The Only Living Boy In New York (ver 2),The Beatles,https://tabs.ultimate-guitar.com/tab/simon-garfunkel/the-only-living-boy-in-new-york-chords-471042
Bubbly (ver 5),The Black Keys,https://tabs.ultimate-guitar.com/tab/colbie-caillat/bubbly-chords-768099
Carolina In My Mind (ver 4),Bob Dylan,https://tabs.ultimate-guitar.com/tab/james-taylor/carolina-in-my-mind-chords-1065978
Piano Man,Bee Gees,https://tabs.ultimate-guitar.com/tab/billy-joel/piano-man-chords-10768
Ode To My Family,The Cranberries,https://tabs.ultimate-guitar.com/tab/the-cranberries/ode-to-my-family-chords-630420
Love The Way You Lie,Eminem,https://tabs.ultimate-guitar.com/tab/eminem/love-the-way-you-lie-chords-961628
Feel (ver 5),Rihanna,https://tabs.ultimate-guitar.com/tab/robbie-williams/feel-chords-1064250
Helplessly Hoping,Robbie Williams,https://tabs.ultimate-guitar.com/tab/crosby-stills-nash/helplessly-hoping-chords-64116
Tulkoon Joulu,"Crosby, Stills & Nash",https://tabs.ultimate-guitar.com/tab/misc-christmas/tulkoon-joulu-chords-1116462
Its My Life Acoustic,Misc Christmas,https://tabs.ultimate-guitar.com/tab/bon-jovi/its-my-life-chords-951538
Deck The Halls,Bon Jovi,https://tabs.ultimate-guitar.com/tab/misc-christmas/deck-the-halls-chords-895196
Its Beginning To Look A Lot Like Christmas,Misc Christmas,https://tabs.ultimate-guitar.com/tab/meredith-willson/its-beginning-to-look-a-lot-like-christmas-chords-1047476
Christmas Song,Meredith Willson,https://tabs.ultimate-guitar.com/tab/nat-king-cole/christmas-song-chords-1199427
High School Musical - Breaking Free,Nat King Cole,https://tabs.ultimate-guitar.com/tab/misc-soundtrack/high-school-musical-breaking-free-chords-334142
Simply The Best,Misc Soundtrack,https://tabs.ultimate-guitar.com/tab/noah-reid/simply-the-best-chords-3130430
Adventure Time - Come Along With Me,Noah Reid,https://tabs.ultimate-guitar.com/tab/misc-cartoons/adventure-time-come-along-with-me-chords-2465172
Pool House,Misc Cartoons,https://tabs.ultimate-guitar.com/tab/the-backseat-lovers/pool-house-chords-2595117
Aladdin - Speechless (ver 4),Ashley Eriksson,https://tabs.ultimate-guitar.com/tab/misc-soundtrack/aladdin-speechless-chords-2708337
Lose You To Love Me,The Backseat Lovers,https://tabs.ultimate-guitar.com/tab/selena-gomez/lose-you-to-love-me-chords-2865605
Moon Song (ver 2),Misc Soundtrack,https://tabs.ultimate-guitar.com/tab/phoebe-bridgers/moon-song-chords-3794300
Ivy,Naomi Scott,https://tabs.ultimate-guitar.com/tab/taylor-swift/ivy-chords-3462380
Hamilton - Youll Be Back,Selena Gomez,https://tabs.ultimate-guitar.com/tab/misc-musicals/hamilton-youll-be-back-chords-1772610
Hamilton - Burn,Phoebe Bridgers,https://tabs.ultimate-guitar.com/tab/misc-musicals/hamilton-burn-chords-1789256
Against The Wind,Taylor Swift,https://tabs.ultimate-guitar.com/tab/bob-seger-the-silver-bullet-band/against-the-wind-chords-1124006
Sex Sells,Misc Musicals,https://tabs.ultimate-guitar.com/tab/lovejoy/sex-sells-chords-3700745
Tek It,Jonathan Groff,https://tabs.ultimate-guitar.com/tab/3746843
Change,Misc Musicals,https://tabs.ultimate-guitar.com/tab/big-thief/change-chords-3894680
All My Love,Phillipa Soo,https://tabs.ultimate-guitar.com/tab/noah-kahan/all-my-love-chords-4191523
October Passed Me By,Bob Seger & The Silver Bullet Band,https://tabs.ultimate-guitar.com/tab/girl-in-red/october-passed-me-by-chords-4384586
Thinking Out Loud (ver 2),Lovejoy,https://tabs.ultimate-guitar.com/tab/ed-sheeran/thinking-out-loud-chords-1486901
Heal (ver 2),Cafuné,https://tabs.ultimate-guitar.com/tab/tom-odell/heal-chords-1725586
Like Real People Do,Big Thief,https://tabs.ultimate-guitar.com/tab/hozier/like-real-people-do-chords-1731998
Fall For You (ver 2),Noah Kahan,https://tabs.ultimate-guitar.com/tab/secondhand-serenade/fall-for-you-chords-630290
What A Friend We Have In Jesus,girl in red,https://tabs.ultimate-guitar.com/tab/misc-praise-songs/what-a-friend-we-have-in-jesus-chords-1453638
Human (ver 2),Ed Sheeran,https://tabs.ultimate-guitar.com/tab/christina-perri/human-chords-1433348
Spongebob Squarepants - Ripped Pants (ver 2),Tom Odell,https://tabs.ultimate-guitar.com/tab/misc-cartoons/spongebob-squarepants-ripped-pants-chords-655517
I Just Died In Your Arms (ver 2),Hozier,https://tabs.ultimate-guitar.com/tab/cutting-crew/i-just-died-in-your-arms-chords-1024059
Disenchanted,Secondhand Serenade,https://tabs.ultimate-guitar.com/tab/my-chemical-romance/disenchanted-chords-428090
We Are Never Ever Getting Back Together,Misc Praise Songs,https://tabs.ultimate-guitar.com/tab/taylor-swift/we-are-never-ever-getting-back-together-chords-1175300
Que Sera Sera,Christina Perri,https://tabs.ultimate-guitar.com/tab/doris-day/que-sera-sera-chords-561938
Blessed Be Your Name,Misc Cartoons,https://tabs.ultimate-guitar.com/tab/matt-redman/blessed-be-your-name-chords-52780
