Cant Help Falling In Love,Elvis Presley,D Major,100
Perfect,Ed Sheeran,A♭ Major,95
Hallelujah (ver 2),Jeff Buckley,C Major,101
Another Love,Tom Odell,E Minor,123
Hotel California,Eagles,D Major,147
Creep,Radiohead,G Major,92
Yellow (ver 2),Coldplay,B Major,170
Riptide (ver 2),Vance Joy,C# Major,96
Last Christmas,Wham!,D Major,108
All I Want For Christmas Is You (ver 3),Mariah Carey,G Major,75
Wonderwall (ver 2),Oasis,A Major,174
Something In The Orange,Zach Bryan,E Minor,175
Take Me Home Country Roads (ver 5),John Denver,C Major,91
Let Her Go,Passenger,G Major,75
House Of The Rising Sun,The Animals,A Minor,117
Somewhere Only We Know,Keane,A Major,172
Until I Found You (ver 2),Stephen Sanchez,B♭ Major,101
When I Was Your Man,Bruno Mars,C Major,73
A Star Is Born - Shallow (ver 2),Misc Soundtrack,G Major,100
Tv,Lady Gaga,G Minor,116
Fly Me To The Moon (ver 2),Bradley Cooper,A Minor,119
Where Is My Mind,Billie Eilish,E Minor,100
Anti-Hero,Frank Sinatra,F Major,110
Viva La Vida,Pixies,A Minor,150
Wish You Were Here,Taylor Swift,G Major,118
Crazy (ver 2),Coldplay,E♭ Major,79
Dont Look Back In Anger,Pink Floyd,D Major,83
Zombie,Gnarls Barkley,E Minor,92
Iris (ver 4),Oasis,E Minor,139
Take Me Home Country Roads,The Cranberries,A Major,82
Glimpse Of Us,Goo Goo Dolls,E Major,140
Someone Like You,John Denver,E Major,111
Yesterday,Adele,C# Major,167
All Of Me,Creedence Clearwater Revival,C Major,133
Just The Two Of Us,The Beatles,B♭ Major,120
Jingle Bell Rock (ver 3),John Legend,D Major,120
Thinking Out Loud,Grover Washington Jr.,B♭ Minor,96
Jolene (ver 2),Bill Withers,B Major,110
Sweater Weather Acoustic,Bobby Helms,E♭ Minor,75
Jingle Bells,Ed Sheeran,C Major,114
Boulevard Of Broken Dreams (ver 3),Dolly Parton,A♭ Major,171
Hurt,The Neighbourhood,D Minor,83
Someone You Loved,Misc Christmas,C# Major,105
Imagine,Green Day,G Major,89
Let It Be (ver 2),Johnny Cash,B♭ Minor,88
Have Yourself A Merry Little Christmas,Lewis Capaldi,A Major,69
Youre On Your Own Kid,John Lennon,D Major,120
Photograph,Judy Garland,E Minor,85
Make You Feel My Love,Adele,B♭ Major,65
Happier Than Ever,Billie Eilish,C Major,81
Im Yours (ver 11),Jason Mraz,B Major,75
Wicked Game,Chris Isaak,A Major,112
Your Song,Elton John,E♭ Major,128
Smells Like Teen Spirit,Nirvana,C# Major,117
Silent Night (ver 4),Misc Christmas,E Major,126
Love Yourself,Justin Bieber,E Major,100
As It Was,Harry Styles,F# Minor,174
All Of Me (ver 3),John Legend,G Major,141
Sweet Child O Mine,Guns N' Roses,F# Major,125
Heather,Conan Gray,F Major,102
Wouldve Couldve Shouldve,Taylor Swift,G Major,158
Stand By Me (ver 7),Ben E. King,D Major,119
Space Oddity,David Bowie,C Major,134
Knockin On Heavens Door (ver 2),Bob Dylan,G Major,128
A Star Is Born - Always Remember Us This Way,Misc Soundtrack,C Major,130
The Sound Of Silence (ver 2),Lady Gaga,A Major,91
Hey Jude (ver 7),Simon & Garfunkel,A Major,81
Snowman (ver 3),The Beatles,F# Major,94
Feliz Navidad,Sia,C# Major,84
Golden Hour,Misc Christmas,F Major,121
Aint No Sunshine,JVKE,E Minor,144
Good Riddance Time Of Your Life,Bill Withers,G Major,95
Midnight Rain,Green Day,C# Minor,139
Hallelujah,Taylor Swift,D Major,120
Take Me To Church Acoustic,Leonard Cohen,E Minor,129
Atlantis,Hozier,C# Minor,73
Tennessee Whiskey,Seafret,A Major,49
I See Fire (ver 3),Chris Stapleton,F Minor,154
No Surprises,Ed Sheeran,F Major,76
When We Were Young,Radiohead,E♭ Major,144
Rolling In The Deep (ver 4),Adele,C Minor,105
Fix You (ver 16),Adele,E♭ Major,140
All I Want,Coldplay,G Major,129
White Christmas,Kodaline,C Major,151
O Holy Night (ver 8),Bing Crosby,A♭ Major,86
California Dreamin (ver 3),Misc Christmas,C# Major,80
Cigarette Daydreams,The Mamas & The Papas,D Major,114
Happy Xmas War Is Over,Cage the Elephant,E♭ Major,172
Im Not The Only One,John Lennon,C Major,76
Hey There Delilah (ver 2),Sam Smith,D Major,104
Hallelujah,Plain White T's,C# Major,80
Those Eyes,Jeff Buckley,E Major,120
Back To Black,New West,E Minor,94
Bohemian Rhapsody (ver 5),Amy Winehouse,F Minor,97
Lovely,Queen,C# Major,162
American Pie,Billie Eilish,E Minor,140
Stay,Khalid,F Minor,125
Losing My Religion (ver 2),Don McLean,A Minor,126
Wagon Wheel,Darius Rucker,A Major,148
Say You Wont Let Go (ver 4),James Arthur,B♭ Major,85
Landslide,Fleetwood Mac,G Minor,159
Stick Season,Noah Kahan,A Major,118
Love Story,Taylor Swift,D Major,119
Die For You,Joji,A♭ Major,148
