,Song_Name,Tuning,Key,Capo,Chord,BPM,LG#el,Freq_map
0,The Water Fountain Chords,"['E', 'A', 'D', 'G', 'B', 'E']",C#,1st fret,"['C', 'Am', 'G', 'D', 'Em']",67 bpm,negative,"{'C': 14, 'Am': 14, 'G': 12, 'D': 14, 'Em': 2}"
1,Havana Chords,"['E', 'A', 'D', 'G', 'B', 'E']",Gm,3rd fret,"['Em', 'C', 'B7']",105 F#pm,negative,"{'Am': 48, 'F': 44, 'E7': 46}"
2,Shape Of You Chords,"['E', 'A', 'D', 'G', 'B', 'E']",C#m,2nd fret,"['Bm', 'Em', 'G', 'A']",96 bpm,positive,"{'Am': 44, 'Dm': 42, 'F': 42, 'G': 40}"
3,Adore You Chords,"['E', 'A', 'D', 'G', 'B', 'E']",Cm,3rd fret,"['Am7', 'C', 'Fmaj7', 'G']",99 bpm,positive,"{'Am7': 22, 'C': 22, 'Fmaj7': 22, 'G': 20}"
4,Galway Girl Chords,"['E', 'A', 'D', 'G', 'B', 'E']",F#m,2nd fret,"['Em', 'G', 'D', 'Cadd9', 'C', 'Am7']",100 bpm,positive,"{'Am': 26, 'C': 36, 'G': 34, 'Fadd9': 16, 'F': 14, 'Dm7': 2}"
5,Oh My God Chords,"['E', 'A', 'D', 'G', 'B', 'E']",C,3rd fret,"['F', 'Dm', 'C', 'G']",78 bpm,negative,"{'G#': 15, 'Fm': 15, 'D#': 28, 'A#': 1}"
6,Comethru Chords,"['E', 'A', 'D', 'G', 'B', 'E']",C,no capo,"['Cmaj7', 'Am7', 'F', 'G', 'Am7/G', 'Fmaj7', 'G/B']",94 bpm,positive,"{'Cmaj7': 16, 'Am7': 18, 'F': 14, 'G': 16, 'Am7/G': 5, 'Fmaj7': 4, 'G/B': 1}"
7,Little Things Chords,"['E', 'A', 'D', 'G', 'B', 'E']",G,no capo,"['G', 'C', 'Em', 'D', 'Am']",110 bpm,positive,"{'C': 18, 'F': 30, 'Am': 15, 'G': 22, 'Dm': 12}"
8,Sucker Chords,"['E', 'A', 'D', 'G', 'B', 'E']",C#m,no capo,"['C#m', 'E', 'B', 'G#', 'F#m', 'A']",138 bpm,positive,"{'Am': 38, 'C': 37, 'G': 43, 'E': 19, 'Dm': 12, 'F': 12}"
9,Wake Me Up Chords,"['E', 'A', 'D', 'G', 'B', 'E']",Bm,no capo,"['Bm', 'G', 'D', 'A', 'F#']",124 bpm,positive,"{'Am': 38, 'F': 38, 'C': 38, 'G': 38, 'E': 1}"
10,Falling Chords,"['E', 'A', 'D', 'G', 'B', 'E']",E,no capo,"['E', 'C#m', 'B', 'A', 'G#m']",110 bpm,negative,"{'C': 13, 'Am': 13, 'G': 12, 'F': 13, 'Em': 11}"
11,10000 Hours Chords,"['E', 'A', 'D', 'G', 'B', 'E']",A#,3rd fret,"['G', 'Bm', 'G/B', 'Em', 'C']",90 bpm,positive,"{'C': 59, 'Em': 3, 'C/E': 6, 'Am': 24, 'F': 34}"
12,Perfect Chords,"['E', 'A', 'D', 'G', 'B', 'E']",G#,1st fret,"['G', 'Em', 'C', 'D', 'D/F#', 'G/B', 'Dsus4']",64 bpm,positive,"{'C': 30, 'Am': 23, 'F': 24, 'G': 26, 'G/B': 2, 'C/E': 1, 'Gsus4': 1}"
13,Something Just Like This Chords,"['E', 'A', 'D', 'G', 'B', 'E']",G,no capo,"['G', 'A', 'Bm', 'D/F#', 'Bsus4', 'D', 'Dmaj7']",103 bpm,positive,"{'C': 56, 'D': 95, 'Em': 54, 'G/B': 7, 'Esus4': 2, 'G': 3, 'Gmaj7': 8}"
14,Lights Up Chords,"['E', 'A', 'D', 'G', 'B', 'E']",D#m,6th fret,"['Em', 'D', 'Dsus4', 'C/E', 'Am7', 'E', 'C']",102 bpm,positive,"{'Em': 12, 'D': 27, 'Dsus4': 12, 'C/E': 3, 'Am7': 10, 'E': 15, 'C': 9}"
