Song_Name,Key,Capo,Chord,Frequency_map_of_each_chord,BPM
That Way Chords,C,no capo,"['Am', 'F', 'Em']","{'Am': 17, 'F': 34, 'Em': 17}",NF
Attention Chords,Key Not Find,no capo,"['Am', 'G', 'Em', 'F']","{'Am': 21, 'G': 21, 'Em': 21, 'F': 21}",NF
Marvin Gaye Chords,E,no capo,"['E', 'C#m', 'A', 'B', 'G#', 'F#', 'F#m']","{'E': 19, 'C#m': 10, 'A': 8, 'B': 13, 'G#': 4, 'F#': 2, 'F#m': 2}",NF
We Dont Talk Any More Ukulele,Key Not Find,4th fret,"['F', 'G', 'Am', 'Em']","{'F': 23, 'G': 22, 'Am': 22, 'Em': 18}",NF
Then Theres You Chords,Key Not Find,no capo,"['G', 'D', 'Em', 'Am', 'Cadd9']","{'G': 16, 'D': 27, 'Em': 23, 'Am': 8, 'Cadd9': 10}",98 bpm
As You Are Chords,Key Not Find,2nd fret,"['C', 'G/B', 'Am', 'G', 'F']","{'C': 11, 'G/B': 11, 'Am': 17, 'G': 20, 'F': 16}",114 bpm
For You Chords,Key Not Find,1st fret,"['G', 'C', 'Em', 'D']","{'G': 48, 'C': 35, 'Em': 16, 'D': 8}",NF
Eastside Chords,Key Not Find,no capo,"['F#m', 'E', 'A', 'D']","{'F#m': 32, 'E': 59, 'A': 32, 'D': 36}",90 bpm
I Dont Wanna Live Forever Chords,Key Not Find,3rd fret,"['C', 'G', 'D', 'Em7']","{'C': 32, 'G': 27, 'D': 28, 'Em7': 28}",NF
Permission Chords,B,no capo,"['F#', 'G#m', 'E', 'B', 'G#']","{'F#': 21, 'G#m': 19, 'E': 20, 'B': 18, 'G#': 1}",NF
Worse Chords,Key Not Find,2nd fret,"['Am', 'G', 'F', 'Dm', 'Em']","{'Am': 29, 'G': 30, 'F': 30, 'Dm': 22, 'Em': 22}",NF
Little Things Chords,G,no capo,"['G', 'C', 'Em', 'D', 'Am']","{'G': 18, 'C': 30, 'Em': 15, 'D': 22, 'Am': 12}",110 bpm
Sucker Chords,C#m,no capo,"['C#m', 'E', 'B', 'G#', 'F#m', 'A']","{'C#m': 38, 'E': 37, 'B': 43, 'G#': 19, 'F#m': 12, 'A': 12}",138 bpm
Middle Of The Night Chords,Key Not Find,no capo,"['C', 'Am', 'Em', 'D', 'B']","{'C': 19, 'Am': 19, 'Em': 24, 'D': 19, 'B': 2}",NF
Middle Of The Night Chords,Key Not Find,no capo,"['G', 'Bm', 'A']","{'G': 23, 'Bm': 23, 'A': 31}",NF
All Night Chords,Key Not Find,1st fret,"['G', 'Bm', 'D']","{'G': 70, 'Bm': 43, 'D': 28}",NF
To Be So Lonely Chords,G,no capo,"['C', 'Am', 'G', 'Em', 'Fmaj7', 'D5']","{'C': 10, 'Am': 19, 'G': 10, 'Em': 10, 'Fmaj7': 11, 'D5': 1}",105 bpm
Cheap Wine Chords,Key Not Find,no capo,"['F', 'G', 'Am', 'Dm', 'A']","{'F': 18, 'G': 13, 'Am': 24, 'Dm': 27, 'A': 1}",NF
Just My Type Chords,Dm,no capo,"['Dm', 'A', 'Bb', 'Gm', 'F', 'C']","{'Dm': 26, 'A': 23, 'Bb': 25, 'Gm': 11, 'F': 16, 'C': 1}",NF
Personal Acoustic Chords,Key Not Find,5th fret,"['G', 'F', 'Am', 'Em', 'C', 'Dm']","{'G': 21, 'F': 17, 'Am': 18, 'Em': 4, 'C': 15, 'Dm': 2}",NF
Trampoline Chords,Key Not Find,3rd fret,"['Em', 'G', 'D', 'Am', 'C', 'B']","{'Em': 16, 'G': 16, 'D': 16, 'Am': 16, 'C': 12, 'B': 5}",63 bpm
