,Unnamed: 0,Song_Name,Key,Capo,Chord,BPM,Freq_map
0,120,Let Me Chords,A,no capo,"['A', 'Dmaj7', 'F#m', 'Bm7', 'E', 'C#m7']",84 bpm,"{'C': 17, 'Fmaj7': 16, 'Am': 4, 'Dm7': 16, 'G': 13, 'Em7': 13}"
1,213,The A Team Chords,A,2nd fret,"['G', 'D/F#', 'Em', 'C', 'Am']",170 bpm,"{'C': 39, 'G/B': 12, 'Am': 26, 'F': 33, 'Dm': 9}"
2,286,Take Me Home Country Roads Chords,A,2nd fret,"['G', 'G/D', 'Em', 'D', 'C', 'D/F#', 'F', 'D7']",164 bpm,"{'C': 26, 'C/G': 1, 'Am': 10, 'G': 16, 'F': 14, 'G/B': 1, 'A#': 1, 'G7': 1}"
3,92,As It Was Chords,A,2nd fret,"['Am', 'D', 'G', 'C']",174 bpm,"{'Dm': 14, 'G': 14, 'C': 14, 'F': 12}"
4,208,Fade Into You Chords,A,no capo,"['A', 'E', 'Bm', 'D']",157 bpm,"{'C': 31, 'G': 31, 'Dm': 31, 'F': 4}"
5,362,Fade Into You Chords,A,no capo,"['A', 'E', 'Bm', 'D']",157 bpm,"{'C': 31, 'G': 31, 'Dm': 31, 'F': 4}"
6,234,Tears In Heaven Chords,A,no capo,"['A', 'E/G#', 'F#m', 'A/E', 'D/F#', 'E7sus4', 'E7', 'E', 'C#/F', 'A7/E', 'F#7', 'Bm7', 'Bm7/E', 'E7sus', 'C', 'G/B', 'Am', 'G', 'Em']",80 bpm,"{'C': 22, 'G/B': 6, 'Am': 16, 'C/G': 18, 'F/A': 16, 'G7sus4': 3, 'G7': 5, 'G': 13, 'E/G#': 4, 'C7/G': 4, 'A7': 4, 'Dm7': 5, 'Dm7/G': 5, 'G7sus': 1, 'D#': 2, 'A#/D': 2, 'Cm': 2, 'A#': 3, 'Gm': 1}"
7,193,Stick Season Chords,A,no capo,"['A', 'E', 'F#m', 'D']",204 bpm,"{'C': 13, 'G': 14, 'Am': 10, 'F': 10}"
8,188,Wagon Wheel Chords,A,2nd fret,"['G', 'D', 'Em', 'C']",148 bpm,"{'C': 45, 'G': 45, 'Am': 23, 'F': 45}"
9,236,Here Comes The Sun Chords,A,7th fret,"['D', 'G', 'A7', 'E7', 'F', 'C', 'G/B', 'A7sus4']",129 bpm,"{'C': 22, 'F': 14, 'G7': 11, 'D7': 5, 'D#': 1, 'A#': 1, 'F/A': 1, 'G7sus4': 1}"
10,331,Whats Up Chords,A,2nd fret,"['G', 'Am', 'C']",67 bpm,"{'C': 39, 'Dm': 20, 'F': 19}"
11,349,Stick Season Chords,A,no capo,"['A', 'E', 'F#m', 'D']",204 bpm,"{'C': 13, 'G': 14, 'Am': 10, 'F': 10}"
12,246,When The Partys Over Chords,A,4th fret,"['F', 'Am', 'C', 'Dm', 'G', 'F#dim']",124 bpm,"{'C': 34, 'Em': 20, 'G': 21, 'Am': 8, 'D': 2, 'C#dim': 1}"
13,296,Black Panther Wakanda Forever - Lift Me Up Chords,A,no capo,"['A', 'Bm', 'E7', 'F#m7']",NF,"{'C': 25, 'Dm': 17, 'G7': 17, 'Am7': 5}"
14,345,Wagon Wheel Chords,A,2nd fret,"['G', 'D', 'Em', 'C']",148 bpm,"{'C': 45, 'G': 45, 'Am': 23, 'F': 45}"
15,323,Favorite Crime Chords,A,2nd fret,"['G', 'Em', 'D', 'Cmaj7', 'Am']",90 bpm,"{'C': 12, 'Am': 8, 'G': 9, 'Fmaj7': 9, 'Dm': 2}"
16,401,When The Partys Over Chords,A,4th fret,"['F', 'Am', 'C', 'Dm', 'G', 'F#dim']",124 bpm,"{'C': 34, 'Em': 20, 'G': 21, 'Am': 8, 'D': 2, 'C#dim': 1}"
17,386,Tears In Heaven Chords,A,no capo,"['A', 'E/G#', 'F#m', 'A/E', 'D/F#', 'E7sus4', 'E7', 'E', 'C#/F', 'A7/E', 'F#7', 'Bm7', 'Bm7/E', 'E7sus', 'C', 'G/B', 'Am', 'G', 'Em']",80 bpm,"{'C': 22, 'G/B': 6, 'Am': 16, 'C/G': 18, 'F/A': 16, 'G7sus4': 3, 'G7': 5, 'G': 13, 'E/G#': 4, 'C7/G': 4, 'A7': 4, 'Dm7': 5, 'Dm7/G': 5, 'G7sus': 1, 'D#': 2, 'A#/D': 2, 'Cm': 2, 'A#': 3, 'Gm': 1}"
18,388,Here Comes The Sun Chords,A,7th fret,"['D', 'G', 'A7', 'E7', 'F', 'C', 'G/B', 'A7sus4']",129 bpm,"{'C': 22, 'F': 14, 'G7': 11, 'D7': 5, 'D#': 1, 'A#': 1, 'F/A': 1, 'G7sus4': 1}"
19,159,Intentions Chords,A,no capo,"['A', 'F#m', 'D']",NF,"{'C': 33, 'Am': 30, 'F': 30}"
20,390,Take Me Home Country Roads Chords,A,2nd fret,"['G', 'Em', 'D', 'C', 'F', 'D7']",164 bpm,"{'C': 25, 'Am': 10, 'G': 17, 'F': 14, 'A#': 1, 'G7': 1}"
21,278,Someone Like You Chords,A,2nd fret,"['G', 'Bm/F#', 'Em', 'C', 'D9', 'D', 'Am', 'D/F#']",68 bpm,"{'C': 26, 'Em/B': 6, 'Am': 31, 'F': 30, 'G9': 4, 'G': 19, 'Dm': 1, 'G/B': 4}"
22,380,Rockin Around The Christmas Tree Chords,G#,1st fret,"['G', 'Em', 'C', 'D', 'D7', 'Am7', 'Bm', 'Emmaj7', 'Em7', 'A7', 'Am']",141 bpm,"{'C': 13, 'Am': 5, 'F': 6, 'G': 2, 'G7': 23, 'Dm7': 13, 'Em': 3, 'Ammaj7': 3, 'Am7': 3, 'D7': 3, 'Dm': 2}"
23,100,Dil Mere Chords,G#,1st fret,"['G', 'D', 'Em', 'C']",93 bpm,"{'C': 40, 'G': 66, 'Am': 18, 'F': 29}"
24,320,Enchanted Chords,G#,1st fret,"['G', 'Bm', 'C', 'Em', 'D']",82 bpm,"{'C': 39, 'Em': 9, 'F': 43, 'Am': 14, 'G': 33}"
25,226,Rockin Around The Christmas Tree Chords,G#,1st fret,"['G', 'Em', 'C', 'D', 'D7', 'Am7', 'Bm', 'Emmaj7', 'Em7', 'A7', 'Am']",141 bpm,"{'C': 13, 'Am': 5, 'F': 6, 'G': 2, 'G7': 23, 'Dm7': 13, 'Em': 3, 'Ammaj7': 3, 'Am7': 3, 'D7': 3, 'Dm': 2}"
26,70,Perfect Chords,G#,1st fret,"['G', 'Em', 'C', 'D', 'D/F#', 'G/B', 'Dsus4']",64 bpm,"{'C': 30, 'Am': 23, 'F': 24, 'G': 26, 'G/B': 2, 'C/E': 1, 'Gsus4': 1}"
27,40,Give Me Love Chords,Am,2nd fret,"['G#m7', 'E', 'B5', 'Bmaj7', 'B7+', 'C#m', 'B', 'F#', 'G#m']",117 bpm,"{'A#m7': 11, 'F#': 32, 'C#5': 11, 'C#maj7': 9, 'C#7+': 2, 'D#m': 13, 'C#': 15, 'G#': 24, 'A#m': 22}"
28,266,Stairway To Heaven Chords,Am,no capo,"['Am', 'E+', 'C', 'D', 'F', 'G', 'Em', 'Dsus4', 'Dsus2', 'Cadd9']",NF,"{'Am': 51, 'E+': 6, 'C': 37, 'D': 35, 'F': 21, 'G': 48, 'Em': 7, 'Dsus4': 4, 'Dsus2': 2, 'Cadd9': 2}"
29,316,Hurt Chords,Am,no capo,"['Am', 'C', 'D', 'G', 'F']",90 bpm,"{'Am': 31, 'C': 24, 'D': 20, 'G': 16, 'F': 10}"
30,233,Snap Chords,Am,no capo,"['Am', 'F', 'C', 'G', 'G/B']",85 bpm,"{'Am': 25, 'F': 29, 'C': 27, 'G': 11, 'G/B': 18}"
31,259,Stairway To Heaven Chords,Am,no capo,"['Am', 'E+', 'C', 'D', 'F', 'G', 'Em', 'Dsus4', 'Dsus2', 'Cadd9']",NF,"{'Am': 51, 'E+': 6, 'C': 37, 'D': 35, 'F': 21, 'G': 48, 'Em': 7, 'Dsus4': 4, 'Dsus2': 2, 'Cadd9': 2}"
32,111,Manjha Chords,Am,2nd fret,"['Am', 'Em', 'F', 'G']",NF,"{'Bm': 10, 'F#m': 10, 'G': 7, 'A': 7}"
33,238,House Of The Rising Sun Chords,Am,no capo,"['Am', 'C', 'D', 'F', 'E', 'C/E', 'E7', 'F7', 'Dm']",234 bpm,"{'Am': 57, 'C': 28, 'D': 22, 'F': 21, 'E': 27, 'C/E': 1, 'E7': 2, 'F7': 1, 'Dm': 5}"
34,244,Fly Me To The Moon Chords,Am,no capo,"['Am', 'Dm7', 'G7', 'Cmaj7', 'F', 'Dm', 'E7', 'A7', 'C', 'E', 'Fm', 'Em', 'G']",NF,"{'Am': 11, 'Dm7': 13, 'G7': 13, 'Cmaj7': 4, 'F': 4, 'Dm': 4, 'E7': 3, 'A7': 4, 'C': 7, 'E': 4, 'Fm': 1, 'Em': 1, 'G': 1}"
35,126,Bad Romance Chords,Am,no capo,"['Am', 'C', 'G', 'F', 'E', 'Em']",119 bpm,"{'Am': 51, 'C': 37, 'G': 35, 'F': 32, 'E': 12, 'Em': 9}"
36,293,Lemon Tree Chords,Am,4th fret,"['F#dim7', 'G', 'Am', 'Em', 'Dm', 'C', 'F', 'G7', 'E']",143 bpm,"{'A#dim7': 3, 'B': 14, 'C#m': 38, 'G#m': 38, 'F#m': 7, 'E': 9, 'A': 7, 'B7': 4, 'G#': 2}"
37,209,Karma Police Chords,Am,no capo,"['Am', 'D/F#', 'Em', 'G', 'F', 'D', 'C', 'Em/B', 'Bm', 'F#7', 'E7']",75 bpm,"{'Am': 16, 'D/F#': 8, 'Em': 8, 'G': 30, 'F': 4, 'D': 34, 'C': 12, 'Em/B': 4, 'Bm': 14, 'F#7': 4, 'E7': 12}"
38,217,Mary Did You Know Chords,Am,no capo,"['Am', 'G', 'Dm7', 'Esus', 'E', 'C', 'G/B', 'F', 'E7sus', 'E7']",NF,"{'Am': 14, 'G': 14, 'Dm7': 15, 'Esus': 12, 'E': 13, 'C': 4, 'G/B': 4, 'F': 2, 'E7sus': 1, 'E7': 1}"
39,399,Fly Me To The Moon Chords,Am,no capo,"['Am', 'Dm7', 'G7', 'Cmaj7', 'F', 'Dm', 'E7', 'A7', 'C', 'E', 'Fm', 'Em', 'G']",NF,"{'Am': 11, 'Dm7': 13, 'G7': 13, 'Cmaj7': 4, 'F': 4, 'Dm': 4, 'E7': 3, 'A7': 4, 'C': 7, 'E': 4, 'Fm': 1, 'Em': 1, 'G': 1}"
40,169,Counting Stars Chords,Am,4th fret,"['Am', 'C', 'G', 'F', 'Dm']",122 bpm,"{'C#m': 28, 'E': 27, 'B': 27, 'A': 33, 'F#m': 1}"
41,171,Him And I Chords,Am,no capo,"['Am', 'G', 'Dm', 'F']",88 bpm,"{'Am': 22, 'G': 24, 'Dm': 24, 'F': 16}"
42,391,House Of The Rising Sun Chords,Am,no capo,"['Am', 'C', 'D', 'F', 'E', 'C/E', 'E7', 'F7', 'Dm']",234 bpm,"{'Am': 57, 'C': 28, 'D': 22, 'F': 21, 'E': 27, 'C/E': 1, 'E7': 2, 'F7': 1, 'Dm': 5}"
43,385,Snap Chords,Am,no capo,"['Am', 'F', 'C', 'G', 'G/B']",85 bpm,"{'Am': 25, 'F': 29, 'C': 27, 'G': 11, 'G/B': 18}"
44,150,Let Me Down Slowly Chords,Am,4th fret,"['Am', 'G', 'Em', 'F']",75 bpm,"{'C#m': 27, 'B': 27, 'G#m': 27, 'A': 27}"
45,373,Mary Did You Know Chords,Am,no capo,"['Am', 'G', 'Dm7', 'Esus', 'E', 'C', 'G/B', 'F', 'E7sus', 'E7']",NF,"{'Am': 14, 'G': 14, 'Dm7': 15, 'Esus': 12, 'E': 13, 'C': 4, 'G/B': 4, 'F': 2, 'E7sus': 1, 'E7': 1}"
46,303,Under The Influence Chords,Am,no capo,"['Am', 'Cadd9', 'Fmaj7', 'G', 'Cmaj9', 'C', 'F', 'Em']",NF,"{'Am': 20, 'Cadd9': 1, 'Fmaj7': 2, 'G': 20, 'Cmaj9': 1, 'C': 12, 'F': 18, 'Em': 2}"
47,363,Karma Police Chords,Am,no capo,"['Am', 'D/F#', 'Em', 'G', 'F', 'D', 'C', 'Em/B', 'Bm', 'F#7', 'E7']",75 bpm,"{'Am': 16, 'D/F#': 8, 'Em': 8, 'G': 30, 'F': 4, 'D': 34, 'C': 12, 'Em/B': 4, 'Bm': 14, 'F#7': 4, 'E7': 12}"
48,358,While My Guitar Gently Weeps Chords,Am,no capo,"['Am', 'G', 'A', 'Am/G', 'D', 'C#m', 'F#m7b5', 'E', 'F#m', 'Fmaj7', 'C', 'Bm', 'Dsus4', 'Dsus2', 'Esus4']",57 bpm,"{'Am': 23, 'G': 12, 'A': 5, 'Am/G': 12, 'D': 13, 'C#m': 9, 'F#m7b5': 12, 'E': 20, 'F#m': 5, 'Fmaj7': 12, 'C': 6, 'Bm': 5, 'Dsus4': 4, 'Dsus2': 4, 'Esus4': 8}"
49,351,I Will Follow You Into The Dark Chords,Am,5th fret,"['Am', 'C', 'F', 'G/B', 'G', 'E', 'Am/G', 'Fm', 'C/G', 'Am/E']",155 bpm,"{'Dm': 18, 'F': 23, 'A#': 16, 'C/E': 5, 'C': 10, 'A': 4, 'Dm/C': 4, 'A#m': 5, 'F/C': 10, 'Dm/A': 6}"
50,196,I Will Follow You Into The Dark Chords,Am,5th fret,"['Am', 'C', 'F', 'G/B', 'G', 'E', 'Am/G', 'Fm', 'C/G', 'Am/E']",155 bpm,"{'Dm': 18, 'F': 23, 'A#': 16, 'C/E': 5, 'C': 10, 'A': 4, 'Dm/C': 4, 'A#m': 5, 'F/C': 10, 'Dm/A': 6}"
51,334,Im Yours Chords,B,4th fret,"['G', 'D', 'Em', 'C', 'A7', 'Dsus4', 'Bm']",75 bpm,"{'C': 16, 'G': 18, 'Am': 16, 'F': 16, 'D7': 4, 'Gsus4': 3, 'Em': 1}"
52,325,Afterglow Chords,B,4th fret,"['G', 'Cadd9', 'Dsus4', 'Em7']",110 bpm,"{'C': 17, 'Fadd9': 22, 'Gsus4': 16, 'Am7': 5}"
53,9,Permission Chords,B,no capo,"['F#', 'G#m', 'E', 'B', 'G#']",NF,"{'G': 21, 'Am': 19, 'F': 20, 'C': 18, 'A': 1}"
54,211,A Thousand Years Chords,A#,3rd fret,"['G', 'Em7', 'Cadd9', 'D', 'Am']",139 bpm,"{'C': 12, 'Am7': 17, 'Fadd9': 14, 'G': 21, 'Dm': 4}"
55,158,The Greatest Showman - Rewrite The Stars Chords,A#,3rd fret,"['G', 'C', 'D/F#', 'Em', 'D', 'Bm']",125 bpm,"{'C': 28, 'F': 23, 'G/B': 17, 'Am': 18, 'G': 1, 'Em': 1}"
56,262,Can You Feel The Love Tonight Chords,A#,3rd fret,"['G', 'D/F#', 'C/E', 'G/D', 'C', 'G/B', 'Am7', 'D', 'Em', 'F', 'A/C#', 'Am', 'C/D', 'C/G']",62 bpm,"{'C': 20, 'G/B': 8, 'F/A': 2, 'C/G': 7, 'F': 34, 'C/E': 19, 'Dm7': 3, 'G': 10, 'Am': 11, 'A#': 2, 'D/F#': 6, 'Dm': 6, 'F/G': 3, 'F/C': 3}"
