,Unnamed: 0,Song_Name,Key,Capo,Chord,Frequency_map_of_each_chord,BPM
0,120,Let Me Chords,A,no capo,"['A', 'Dmaj7', 'F#m', 'Bm7', 'E', 'C#m7']","{'A': 17, 'Dmaj7': 16, 'F#m': 4, 'Bm7': 16, 'E': 13, 'C#m7': 13}",84 bpm
1,213,The A Team Chords,A,2nd fret,"['G', 'D/F#', 'Em', 'C', 'Am']","{'G': 39, 'D/F#': 12, 'Em': 26, 'C': 33, 'Am': 9}",170 bpm
3,92,As It Was Chords,A,2nd fret,"['Am', 'D', 'G', 'C']","{'Am': 14, 'D': 14, 'G': 14, 'C': 12}",174 bpm
4,208,Fade Into You Chords,A,no capo,"['A', 'E', 'Bm', 'D']","{'A': 31, 'E': 31, 'Bm': 31, 'D': 4}",157 bpm
5,362,Fade Into You Chords,A,no capo,"['A', 'E', 'Bm', 'D']","{'A': 31, 'E': 31, 'Bm': 31, 'D': 4}",157 bpm
7,193,Stick Season Chords,A,no capo,"['A', 'E', 'F#m', 'D']","{'A': 13, 'E': 14, 'F#m': 10, 'D': 10}",204 bpm
8,188,Wagon Wheel Chords,A,2nd fret,"['G', 'D', 'Em', 'C']","{'G': 45, 'D': 45, 'Em': 23, 'C': 45}",148 bpm
10,331,Whats Up Chords,A,2nd fret,"['G', 'Am', 'C']","{'G': 39, 'Am': 20, 'C': 19}",67 bpm
11,349,Stick Season Chords,A,no capo,"['A', 'E', 'F#m', 'D']","{'A': 13, 'E': 14, 'F#m': 10, 'D': 10}",204 bpm
12,246,When The Partys Over Chords,A,4th fret,"['F', 'Am', 'C', 'Dm', 'G', 'F#dim']","{'F': 34, 'Am': 20, 'C': 21, 'Dm': 8, 'G': 2, 'F#dim': 1}",124 bpm
13,296,Black Panther Wakanda Forever - Lift Me Up Chords,A,no capo,"['A', 'Bm', 'E7', 'F#m7']","{'A': 25, 'Bm': 17, 'E7': 17, 'F#m7': 5}",NF
14,345,Wagon Wheel Chords,A,2nd fret,"['G', 'D', 'Em', 'C']","{'G': 45, 'D': 45, 'Em': 23, 'C': 45}",148 bpm
15,323,Favorite Crime Chords,A,2nd fret,"['G', 'Em', 'D', 'Cmaj7', 'Am']","{'G': 12, 'Em': 8, 'D': 9, 'Cmaj7': 9, 'Am': 2}",90 bpm
16,401,When The Partys Over Chords,A,4th fret,"['F', 'Am', 'C', 'Dm', 'G', 'F#dim']","{'F': 34, 'Am': 20, 'C': 21, 'Dm': 8, 'G': 2, 'F#dim': 1}",124 bpm
19,159,Intentions Chords,A,no capo,"['A', 'F#m', 'D']","{'A': 33, 'F#m': 30, 'D': 30}",NF
20,390,Take Me Home Country Roads Chords,A,2nd fret,"['G', 'Em', 'D', 'C', 'F', 'D7']","{'G': 25, 'Em': 10, 'D': 17, 'C': 14, 'F': 1, 'D7': 1}",164 bpm
23,100,Dil Mere Chords,G#,1st fret,"['G', 'D', 'Em', 'C']","{'G': 40, 'D': 66, 'Em': 18, 'C': 29}",93 bpm
24,320,Enchanted Chords,G#,1st fret,"['G', 'Bm', 'C', 'Em', 'D']","{'G': 39, 'Bm': 9, 'C': 43, 'Em': 14, 'D': 33}",82 bpm
29,316,Hurt Chords,Am,no capo,"['Am', 'C', 'D', 'G', 'F']","{'Am': 31, 'C': 24, 'D': 20, 'G': 16, 'F': 10}",90 bpm
30,233,Snap Chords,Am,no capo,"['Am', 'F', 'C', 'G', 'G/B']","{'Am': 25, 'F': 29, 'C': 27, 'G': 11, 'G/B': 18}",85 bpm
32,111,Manjha Chords,Am,2nd fret,"['Am', 'Em', 'F', 'G']","{'Am': 10, 'Em': 10, 'F': 7, 'G': 7}",NF
35,126,Bad Romance Chords,Am,no capo,"['Am', 'C', 'G', 'F', 'E', 'Em']","{'Am': 51, 'C': 37, 'G': 35, 'F': 32, 'E': 12, 'Em': 9}",119 bpm
40,169,Counting Stars Chords,Am,4th fret,"['Am', 'C', 'G', 'F', 'Dm']","{'Am': 28, 'C': 27, 'G': 27, 'F': 33, 'Dm': 1}",122 bpm
41,171,Him And I Chords,Am,no capo,"['Am', 'G', 'Dm', 'F']","{'Am': 22, 'G': 24, 'Dm': 24, 'F': 16}",88 bpm
43,385,Snap Chords,Am,no capo,"['Am', 'F', 'C', 'G', 'G/B']","{'Am': 25, 'F': 29, 'C': 27, 'G': 11, 'G/B': 18}",85 bpm
44,150,Let Me Down Slowly Chords,Am,4th fret,"['Am', 'G', 'Em', 'F']","{'Am': 27, 'G': 27, 'Em': 27, 'F': 27}",75 bpm
52,325,Afterglow Chords,B,4th fret,"['G', 'Cadd9', 'Dsus4', 'Em7']","{'G': 17, 'Cadd9': 22, 'Dsus4': 16, 'Em7': 5}",110 bpm
53,9,Permission Chords,B,no capo,"['F#', 'G#m', 'E', 'B', 'G#']","{'F#': 21, 'G#m': 19, 'E': 20, 'B': 18, 'G#': 1}",NF
54,211,A Thousand Years Chords,A#,3rd fret,"['G', 'Em7', 'Cadd9', 'D', 'Am']","{'G': 12, 'Em7': 17, 'Cadd9': 14, 'D': 21, 'Am': 4}",139 bpm
55,158,The Greatest Showman - Rewrite The Stars Chords,A#,3rd fret,"['G', 'C', 'D/F#', 'Em', 'D', 'Bm']","{'G': 28, 'C': 23, 'D/F#': 17, 'Em': 18, 'D': 1, 'Bm': 1}",125 bpm
58,153,A Thousand Years Chords,A#,3rd fret,"['G', 'Em7', 'Cadd9', 'D', 'Am']","{'G': 12, 'Em7': 17, 'Cadd9': 14, 'D': 21, 'Am': 4}",139 bpm
59,367,A Thousand Years Chords,A#,3rd fret,"['G', 'Em7', 'Cadd9', 'D', 'Am']","{'G': 12, 'Em7': 17, 'Cadd9': 14, 'D': 21, 'Am': 4}",139 bpm
60,69,10000 Hours Chords,A#,3rd fret,"['G', 'Bm', 'G/B', 'Em', 'C']","{'G': 59, 'Bm': 3, 'G/B': 6, 'Em': 24, 'C': 34}",90 bpm
