,Unnamed: 0.1,Unnamed: 0,Song_Name,Key,Capo,Chord,BPM,Freq_map
0,0,120,Let Me Chords,A,no capo,"['A', 'Dmaj7', 'F#m', 'Bm7', 'E', 'C#m7']",84 bpm,"{'C': 17, 'Fmaj7': 16, 'Am': 4, 'Dm7': 16, 'G': 13, 'Em7': 13}"
1,1,213,The A Team Chords,A,2nd fret,"['G', 'D/F#', 'Em', 'C', 'Am']",170 bpm,"{'C': 39, 'G': 12, 'Am': 26, 'F': 33, 'Dm': 9}"
2,3,92,As It Was Chords,A,2nd fret,"['Am', 'D', 'G', 'C']",174 bpm,"{'Dm': 14, 'G': 14, 'C': 14, 'F': 12}"
3,4,208,Fade Into You Chords,A,no capo,"['A', 'E', 'Bm', 'D']",157 bpm,"{'C': 31, 'G': 31, 'Dm': 31, 'F': 4}"
4,5,362,Fade Into You Chords,A,no capo,"['A', 'E', 'Bm', 'D']",157 bpm,"{'C': 31, 'G': 31, 'Dm': 31, 'F': 4}"
5,7,193,Stick Season Chords,A,no capo,"['A', 'E', 'F#m', 'D']",204 bpm,"{'C': 13, 'G': 14, 'Am': 10, 'F': 10}"
6,8,188,Wagon Wheel Chords,A,2nd fret,"['G', 'D', 'Em', 'C']",148 bpm,"{'C': 45, 'G': 45, 'Am': 23, 'F': 45}"
7,10,331,Whats Up Chords,A,2nd fret,"['G', 'Am', 'C']",67 bpm,"{'C': 39, 'Dm': 20, 'F': 19}"
8,11,349,Stick Season Chords,A,no capo,"['A', 'E', 'F#m', 'D']",204 bpm,"{'C': 13, 'G': 14, 'Am': 10, 'F': 10}"
10,13,296,Black Panther Wakanda Forever - Lift Me Up Chords,A,no capo,"['A', 'Bm', 'E7', 'F#m7']",NF,"{'C': 25, 'Dm': 17, 'G7': 17, 'Am7': 5}"
11,14,345,Wagon Wheel Chords,A,2nd fret,"['G', 'D', 'Em', 'C']",148 bpm,"{'C': 45, 'G': 45, 'Am': 23, 'F': 45}"
12,15,323,Favorite Crime Chords,A,2nd fret,"['G', 'Em', 'D', 'Cmaj7', 'Am']",90 bpm,"{'C': 12, 'Am': 8, 'G': 9, 'Fmaj7': 9, 'Dm': 2}"
13,16,401,When The Partys Over Chords,A,4th fret,"['F', 'Am', 'C', 'Dm', 'G', 'F#dim']",124 bpm,"{'C': 34, 'Em': 20, 'G': 21, 'Am': 8, 'D': 2, 'C#dim': 1}"
14,19,159,Intentions Chords,A,no capo,"['A', 'F#m', 'D']",NF,"{'C': 33, 'Am': 30, 'F': 30}"
15,20,390,Take Me Home Country Roads Chords,A,2nd fret,"['G', 'Em', 'D', 'C', 'F', 'D7']",164 bpm,"{'C': 25, 'Am': 10, 'G': 17, 'F': 14, 'A#': 1, 'G7': 1}"
16,23,100,Dil Mere Chords,G#,1st fret,"['G', 'D', 'Em', 'C']",93 bpm,"{'C': 40, 'G': 66, 'Am': 18, 'F': 29}"
17,24,320,Enchanted Chords,G#,1st fret,"['G', 'Bm', 'C', 'Em', 'D']",82 bpm,"{'C': 39, 'Em': 9, 'F': 43, 'Am': 14, 'G': 33}"
18,29,316,Hurt Chords,Am,no capo,"['Am', 'C', 'D', 'G', 'F']",90 bpm,"{'Am': 31, 'C': 24, 'D': 20, 'G': 16, 'F': 10}"
19,30,233,Snap Chords,Am,no capo,"['Am', 'F', 'C', 'G', 'G']",85 bpm,"{'Am': 25, 'F': 29, 'C': 27, 'G': 11, 'G': 18}"
20,32,111,Manjha Chords,Am,2nd fret,"['Am', 'Em', 'F', 'G']",NF,"{'Am': 10, 'Em': 10, 'F': 7, 'G': 7}"
21,35,126,Bad Romance Chords,Am,no capo,"['Am', 'C', 'G', 'F', 'E', 'Em']",119 bpm,"{'Am': 51, 'C': 37, 'G': 35, 'F': 32, 'E': 12, 'Em': 9}"
22,40,169,Counting Stars Chords,Am,4th fret,"['Am', 'C', 'G', 'F', 'Dm']",122 bpm,"{'Am': 28, 'C': 27, 'G': 27, 'F': 33, 'Dm': 1}"
