,Song_Name,Key,Capo,Chord,Frequency_map_of_each_chord,BPM
61,Co2 Chords,Key Not Find,1st fret,"['Am', 'F', 'C', 'Dm', 'Em', 'G']","{'Am': 4, 'F': 34, 'C': 37, 'Dm': 11, 'Em': 2, 'G': 9}",81 bpm
137,Cooler Than Me Chords,Key Not Find,3rd fret,"['Em', 'C', 'D', 'Am']","{'Em': 41, 'C': 44, 'D': 40, 'Am': 4}",NF
101,Aaftaab Chords,Key Not Find,no capo,"['F#', 'C#', 'D#m', 'B', 'G#m']","{'F#': 26, 'C#': 53, 'D#m': 21, 'B': 19, 'G#m': 6}",NF
17,Cheap Wine Chords,Key Not Find,no capo,"['F', 'G', 'Am', 'Dm', 'A']","{'F': 18, 'G': 13, 'Am': 24, 'Dm': 27, 'A': 1}",NF
99,Baarishein Chords,Key Not Find,no capo,"['D', 'Bm', 'G', 'A']","{'D': 30, 'Bm': 15, 'G': 15, 'A': 16}",72 bpm
117,Baby Chords,Key Not Find,3rd fret,"['G', 'Em', 'C', 'D']","{'G': 14, 'Em': 13, 'C': 13, 'D': 12}",NF
19,Personal Acoustic Chords,Key Not Find,5th fret,"['G', 'F', 'Am', 'Em', 'C', 'Dm']","{'G': 21, 'F': 17, 'Am': 18, 'Em': 4, 'C': 15, 'Dm': 2}",NF
131,Bedrock Chords,Key Not Find,no capo,"['G', 'A', 'D', 'Bm', 'Em']","{'G': 21, 'A': 19, 'D': 9, 'Bm': 9, 'Em': 1}",NF
20,Trampoline Chords,Key Not Find,3rd fret,"['Em', 'G', 'D', 'Am', 'C', 'B']","{'Em': 16, 'G': 16, 'D': 16, 'Am': 16, 'C': 12, 'B': 5}",63 bpm
98,Ciao Adios Chords,Key Not Find,no capo,"['Em', 'G', 'D', 'C']","{'Em': 43, 'G': 43, 'D': 43, 'C': 43}",106 bpm
274,Time Chords,Key Not Find,no capo,"['F#m', 'Dmaj7', 'Amaj7', 'C#m7', 'Bm7', 'F/B', 'A', 'E', 'Bm', 'Emadd9', 'Em7', 'Cmaj7', 'Fmaj7', 'G', 'D7#9', 'D7b9']","{'F#m': 11, 'Dmaj7': 10, 'Amaj7': 7, 'C#m7': 4, 'Bm7': 5, 'F/B': 2, 'A': 11, 'E': 7, 'Bm': 2, 'Emadd9': 2, 'Em7': 4, 'Cmaj7': 1, 'Fmaj7': 1, 'G': 1, 'D7#9': 1, 'D7b9': 1}",NF
275,And I Love Her Chords,Key Not Find,no capo,"['F#m', 'E', 'C#m', 'A', 'B', 'G#m', 'B7', 'Gm', 'Dm', 'Bb', 'C7', 'F', 'Dm/F', 'D']","{'F#m': 10, 'E': 4, 'C#m': 12, 'A': 3, 'B': 5, 'G#m': 2, 'B7': 1, 'Gm': 8, 'Dm': 6, 'Bb': 2, 'C7': 2, 'F': 3, 'Dm/F': 1, 'D': 1}",115 bpm
94,Tune Kaha Chords,Key Not Find,1st fret,"['Bm', 'G', 'A', 'D', 'F#', 'F#7']","{'Bm': 19, 'G': 26, 'A': 32, 'D': 37, 'F#': 4, 'F#7': 1}",NF
89,Come Over Chords,Key Not Find,no capo,"['Ab', 'Cm', 'Eb', 'C', 'Fm', 'Bb']","{'Ab': 22, 'Cm': 23, 'Eb': 21, 'C': 3, 'Fm': 5, 'Bb': 1}",NF
21,Cold Water Chords,Key Not Find,2nd fret,"['Em', 'G', 'Bm', 'C', 'D']","{'Em': 34, 'G': 34, 'Bm': 32, 'C': 34, 'D': 4}",93 bpm
170,Never Forget You Chords,Key Not Find,no capo,"['Bm', 'A', 'G', 'D', 'Em']","{'Bm': 35, 'A': 51, 'G': 29, 'D': 6, 'Em': 5}",NF
22,I See Fire Chords,Key Not Find,1st fret,"['Am', 'F', 'G', 'C', 'Dm', 'Em']","{'Am': 50, 'F': 29, 'G': 38, 'C': 13, 'Dm': 17, 'Em': 5}",80 bpm
23,Baby One More Time Acoustic Chords,Key Not Find,no capo,"['Am7', 'Em', 'C', 'Dm7', 'Em7', 'F', 'G', 'A6', 'E5', 'C5', 'D5', 'E11', 'D']","{'Am7': 23, 'Em': 17, 'C': 14, 'Dm7': 13, 'Em7': 14, 'F': 5, 'G': 5, 'A6': 3, 'E5': 3, 'C5': 2, 'D5': 2, 'E11': 2, 'D': 2}",NF
24,Barcelona Chords,Key Not Find,1st fret,"['C', 'Am', 'G', 'F']","{'C': 34, 'Am': 34, 'G': 37, 'F': 37}",NF
265,Karma Chords,Key Not Find,1st fret,"['D', 'Am7', 'C', 'G', 'Bm', 'F#m', 'A']","{'D': 17, 'Am7': 16, 'C': 17, 'G': 17, 'Bm': 1, 'F#m': 1, 'A': 1}",NF
15,All Night Chords,Key Not Find,1st fret,"['G', 'Bm', 'D']","{'G': 70, 'Bm': 43, 'D': 28}",NF
14,Middle Of The Night Chords,Key Not Find,no capo,"['G', 'Bm', 'A']","{'G': 23, 'Bm': 23, 'A': 31}",NF
104,Zakir Chords,Key Not Find,no capo,"['G', 'D', 'C']","{'G': 26, 'D': 16, 'C': 9}",NF
252,Angels Chords,Key Not Find,no capo,"['E', 'A', 'C#m', 'B', 'F#m', 'C#m7', 'D', 'A/C#', 'E/G#', 'Bm']","{'E': 16, 'A': 13, 'C#m': 10, 'B': 10, 'F#m': 4, 'C#m7': 1, 'D': 7, 'A/C#': 7, 'E/G#': 3, 'Bm': 1}",76 bpm
1,Attention Chords,Key Not Find,no capo,"['Am', 'G', 'Em', 'F']","{'Am': 21, 'G': 21, 'Em': 21, 'F': 21}",NF
133,Rude Boy Chords,Key Not Find,6th fret,"['Am', 'Em', 'F', 'Dm', 'C', 'G']","{'Am': 3, 'Em': 3, 'F': 4, 'Dm': 7, 'C': 3, 'G': 4}",NF
